Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts Total,Social Insurance and Retirement Receipts On - Budget,Social Insurance and Retirement Receipts Off - Budget,Excise Taxes,Other,Total Receipts Total,Total Receipts On - Budget,Total Receipts Off - Budget
2014,1444090.5845763895,332120.4970153983,1059802.0759901148,298116.3849058995,761685.6910842153,96683.596426082,196090.5869336544,3128787.3409416387,2367101.6498574237,761685.6910842153
2015,1593587.0812852648,355574.86152317445,1101750.7722917658,304987.22513652325,796763.5471552425,101645.86024786737,208666.76028763503,3361225.3356357072,2564461.788480465,796763.5471552425
2016,1579028.7375111326,305956.1909512459,1138831.9966320205,311383.4559358903,827448.5406961301,97051.42687821282,216751.52298854367,3337619.8749611555,2510171.3342650253,827448.5406961301
2017,1587120.0,297048.0,1161897.0,311279.0,850618.0,83823.0,186296.0,3316184.0,2465566.0,850618.0
2018,1643454.1609919574,199858.45329441119,1142827.4441844767,308431.36061202834,834396.0835724485,92724.45108811448,171759.77980442016,3250624.28936338,2416228.205790932,834396.0835724485
2019,1647090.0477777296,220760.07959369337,1191903.0807355423,315264.7039944508,876638.3767410916,94839.24737966334,166098.60100507492,3320691.0564917037,2444052.679750612,876638.3767410916
2020,1523308.1869844499,200604.61567880955,1240449.4764168847,326246.57851718576,914202.897899699,82175.49882511786,193101.0589527179,3239638.83685798,2325435.9389582807,914202.897899699
2021,1849369.256632166,336363.019180315,1188740.602985286,327257.1884371305,861483.4145481554,68093.81118244318,218501.03949329795,3661067.729473508,2799584.3149253526,861483.4145481554
2022,2204846.9576412393,355892.9871892536,1242693.2216254852,349767.16977592226,892926.051849563,73486.354442326,225392.05098554608,4102311.5718838503,3209385.520034287,892926.051849563
2023,1750882.5200432113,337536.7353493142,1298758.3120545885,338435.31235269184,960322.9997018967,60979.35005374065,124388.96074060907,3572545.878241464,2612222.8785395673,960322.9997018967
2024,1895709.52017095,414033.87306468486,1335341.2281967732,350879.42162176233,984461.8065750109,79261.28622501377,120011.6641768326,3844357.5718342545,2859895.7652592435,984461.8065750109
